***** rtt program started *****
HOST(IPv6): ::1                                     	RTT(1) = 0.070 ms	RTT(2) = 0.088 ms	RTT(3) = 0.095 ms	
HOST(IPv4): 5.62.61.92                              	RTT(1) = 137.875 ms	RTT(2) = 137.867 ms	RTT(3) = 137.862 ms	

HOST(IPv4): 5.62.63.136                             	RTT(1) = 137.764 ms	RTT(2) = 137.760 ms	RTT(3) = 137.755 ms	

HOST(IPv4): 5.62.63.52                              	RTT(1) = 137.899 ms	RTT(2) = 137.895 ms	RTT(3) = 137.890 ms	

HOST(IPv4): 5.62.63.132                             	RTT(1) = 137.766 ms	RTT(2) = 137.762 ms	RTT(3) = 137.754 ms	

HOST(IPv4): 5.62.58.136                             	RTT(1) = 137.947 ms	RTT(2) = 137.943 ms	RTT(3) = 137.936 ms	

HOST(IPv4): 102.165.47.160                          	RTT(1) = 137.770 ms	RTT(2) = 137.766 ms	RTT(3) = 137.760 ms	

HOST(IPv4): 5.62.63.40                              	RTT(1) = 137.971 ms	RTT(2) = 137.967 ms	RTT(3) = 137.961 ms	

HOST(IPv4): 5.62.63.36                              	RTT(1) = 137.996 ms	RTT(2) = 137.989 ms	RTT(3) = 137.983 ms	

HOST(IPv4): 185.54.229.57                           	RTT(1) = 137.781 ms	RTT(2) = 137.777 ms	RTT(3) = 137.772 ms	

HOST(IPv4): 5.62.63.16                              	RTT(1) = 138.022 ms	RTT(2) = 138.018 ms	RTT(3) = 138.012 ms	

HOST(IPv4): 5.62.63.20                              	RTT(1) = 138.042 ms	RTT(2) = 138.037 ms	RTT(3) = 138.027 ms	

HOST(IPv4): 84.17.52.141                            	RTT(1) = 137.782 ms	RTT(2) = 137.777 ms	RTT(3) = 137.773 ms	

HOST(IPv4): 5.62.58.128                             	RTT(1) = 138.065 ms	RTT(2) = 138.059 ms	RTT(3) = 138.051 ms	

HOST(IPv4): 5.62.62.200                             	RTT(1) = 138.074 ms	RTT(2) = 138.070 ms	RTT(3) = 138.064 ms	

HOST(IPv4): 5.62.61.16                              	RTT(1) = 138.095 ms	RTT(2) = 138.085 ms	RTT(3) = 138.073 ms	

HOST(IPv4): 5.62.61.4                               	RTT(1) = 138.109 ms	RTT(2) = 138.100 ms	RTT(3) = 138.092 ms	

HOST(IPv4): 5.62.61.144                             	RTT(1) = 137.789 ms	RTT(2) = 137.785 ms	RTT(3) = 137.780 ms	

HOST(IPv4): 5.62.56.224                             	RTT(1) = 137.759 ms	RTT(2) = 137.752 ms	RTT(3) = 137.450 ms	

HOST(IPv4): 37.46.121.224                           	RTT(1) = 137.779 ms	RTT(2) = 137.775 ms	RTT(3) = 137.769 ms	

HOST(IPv4): 5.62.62.232                             	RTT(1) = 138.148 ms	RTT(2) = 138.144 ms	RTT(3) = 138.137 ms	

HOST(IPv4): 5.62.60.196                             	RTT(1) = 138.154 ms	RTT(2) = 138.150 ms	RTT(3) = 138.145 ms	

HOST(IPv4): 5.62.61.120                             	RTT(1) = 137.806 ms	RTT(2) = 137.802 ms	RTT(3) = 137.798 ms	

HOST(IPv4): 5.62.60.224                             	RTT(1) = 138.181 ms	RTT(2) = 138.177 ms	RTT(3) = 138.167 ms	

HOST(IPv4): 5.62.63.112                             	RTT(1) = 137.797 ms	RTT(2) = 137.793 ms	RTT(3) = 137.788 ms	

HOST(IPv4): 5.62.61.140                             	RTT(1) = 137.796 ms	RTT(2) = 137.792 ms	RTT(3) = 137.786 ms	

HOST(IPv4): 5.62.61.128                             	RTT(1) = 137.814 ms	RTT(2) = 137.810 ms	RTT(3) = 137.805 ms	

HOST(IPv4): 5.62.61.0                               	RTT(1) = 138.212 ms	RTT(2) = 138.207 ms	RTT(3) = 138.202 ms	

HOST(IPv4): 5.62.61.164                             	RTT(1) = 138.228 ms	RTT(2) = 138.224 ms	RTT(3) = 138.219 ms	

HOST(IPv4): 5.62.61.176                             	RTT(1) = 138.214 ms	RTT(2) = 138.209 ms	RTT(3) = 137.521 ms	

